project,commit,old_file,file_size,new_files_num,new_files
micropython,9b7b947b015d733586a7de6159d533cbdb01ac18,stm/lexerstm.h,4,2,"[{'file_name': 'stm/lexerfatfs.h', 'file_size': 2, 'moved_size': 2}, {'file_name': 'stm/lexerstr.h', 'file_size': 2, 'moved_size': 2}]"
esp-idf,8625ed252ea334ec4214e546028c1bf04a3ef4c2,components/idf_test/include/esp32p4/idf_performance_target.h,7,2,"[{'file_name': 'components/esp_driver_spi/test_apps/components/spi_bench_mark/include/spi_performance.h', 'file_size': 5, 'moved_size': 5}, {'file_name': 'components/idf_test/include/esp32p4/idf_performance_target.h', 'file_size': 2, 'moved_size': 2}]"
esp-idf,8e0af4267b9e178c15dc9812b70a535d6156dd35,components/openthread/include/esp_openthread.h,8,2,"[{'file_name': 'components/openthread/include/esp_openthread.h', 'file_size': 4, 'moved_size': 4}, {'file_name': 'components/openthread/private_include/esp_openthread_platform.h', 'file_size': 4, 'moved_size': 4}]"
vlc,a1b7745f21cf9d8614e702c99f5ad216a945b9a6,test/libvlc/test.h,9,2,"[{'file_name': 'test/libvlc/media_utils.h', 'file_size': 2, 'moved_size': 2}, {'file_name': 'test/libvlc/test.h', 'file_size': 7, 'moved_size': 7}]"
esp-idf,0914dfbb6a459becde5d5017dd0e8c5424356fe3,components/driver/include/driver/dac.h,9,2,"[{'file_name': 'components/driver/esp32/include/driver/dac.h', 'file_size': 2, 'moved_size': 2}, {'file_name': 'components/driver/include/driver/dac_common.h', 'file_size': 7, 'moved_size': 7}]"
qmk_firmware,d4cd5dda5c3e3c5b8b8d4db5d0bbed2fec0c770d,quantum/light_ws2812.h,11,2,"[{'file_name': 'quantum/light_ws2812.h', 'file_size': 8, 'moved_size': 8}, {'file_name': 'quantum/rgblight_types.h', 'file_size': 3, 'moved_size': 3}]"
qmk_firmware,e3aeab356afd52299bf6cf05b5c99995ce167275,keyboards/lets_split/rev2/rev2.h,11,2,"[{'file_name': 'keyboards/lets_split/rev2/rev2.h', 'file_size': 2, 'moved_size': 2}, {'file_name': 'keyboards/lets_split/ssd1306.h', 'file_size': 10, 'moved_size': 9}]"
scrcpy,e4d5c1ce363919e399958cf6342f63724ce4dd51,app/src/scrcpy.h,13,2,"[{'file_name': 'app/src/options.h', 'file_size': 12, 'moved_size': 11}, {'file_name': 'app/src/scrcpy.h', 'file_size': 2, 'moved_size': 2}]"
qmk_firmware,99bffc2a21ebed07fd767ad2a9a7e1aadd491ef3,tmk_core/common/util.h,13,2,"[{'file_name': 'quantum/bitwise.h', 'file_size': 9, 'moved_size': 9}, {'file_name': 'quantum/util.h', 'file_size': 4, 'moved_size': 4}]"
reactos,b51b8ee2d527b7a7f640e4a4a740738ce7d34d93,base/setup/lib/fsutil.h,13,2,"[{'file_name': 'base/setup/lib/fsutil.h', 'file_size': 7, 'moved_size': 7}, {'file_name': 'base/setup/lib/utils/fsrec.h', 'file_size': 6, 'moved_size': 6}]"
vlc,7b21794c9130a953d071acfaf9f0cb3469220733,modules/gui/macosx/intf.h,13,2,"[{'file_name': 'modules/gui/macosx/StringUtility.h', 'file_size': 2, 'moved_size': 2}, {'file_name': 'modules/gui/macosx/intf.h', 'file_size': 11, 'moved_size': 11}]"
FFmpeg,0c466417846f80a134dd7078435829c8e47fcbb0,libavcodec/vp9.h,14,2,"[{'file_name': 'libavcodec/vp9.h', 'file_size': 5, 'moved_size': 5}, {'file_name': 'libavcodec/vp9shared.h', 'file_size': 10, 'moved_size': 9}]"
